Files,labels,Frequency,Audio_length,zcr_mean,sp_cen_mean,sp_rf_mean,mfcc_mean,spec_bw_mean,rmse_mean,chroma_stft_mean,Chromagram,MelSpectrohram,Amplitude_db
Copy of PTT-20190716-WA0053.wav,1,22050.0,1.24,0.1493725691641594,2118.5293030098524,3486.1857096354165,-6.101368920322602,1427.1048225784002,0.19065888226032257,0.2715154766210108,0.23719252717587183,7.106927327334183,-16.730043411254883
Copy of PTT-20190716-WA0055.wav,1,22050.0,1.15,0.08012454183580972,1304.74204113903,2301.25341796875,-19.859415177232528,1421.4070869533614,0.013452248647809029,0.33873045716266403,0.26217285462631273,0.07052461900939105,-40.425628662109375
Copy of PTT-20190716-WA0054.wav,1,22050.0,1.24,0.053973728626990534,1038.4572795541058,1633.9314778645833,-19.155503341541998,1292.0243333895824,0.0319024883210659,0.22580551838516186,0.24736202863951742,0.3430393285792499,-36.904605865478516
Copy of PTT-20190716-WA0057.wav,1,22050.0,1.19,0.14912780754760005,2270.883241705321,4204.772010216346,-17.91061420767675,1808.0043145103336,0.037595558911561966,0.3439064825383647,0.2737343590579339,0.35674949082206653,-27.016761779785156
Copy of PTT-20190716-WA0056.wav,1,22050.0,1.77,0.0814323063515661,1612.9577045331157,3174.1898970170455,-12.360910136115915,1787.6506272920674,0.04205324500799179,0.41478654388082403,0.2505436355864514,0.8363355403397399,-28.542016983032227
Copy of PTT-20190716-WA0060.wav,1,22050.0,1.77,0.13705336545855334,2014.6751461182982,4048.5218394886365,-19.920259392709287,1742.7466012025332,0.011906422674655914,0.480081872610333,0.2629711216485706,0.06316422917503477,-39.22806930541992
Copy of PTT-20190716-WA0059.wav,1,22050.0,1.6,0.12473405009786956,1933.8180773776203,4116.898777173913,-16.81080579243426,1804.0010446419562,0.025882020592689514,0.4519595142138837,0.2736264126546285,0.2641002776262749,-31.744609832763672
Copy of PTT-20190716-WA0058.wav,1,22050.0,4.71,0.07220313868121506,1385.0233788202581,2685.6041217672414,-3.6659186760033076,1500.338309319562,0.04627189412713051,0.5049996907457756,0.2703083780559405,1.1028004001514264,-24.614370346069336
Copy of PTT-20190716-WA0062.wav,1,22050.0,1.81,0.06997872606682518,1393.5988851184816,2634.6828026107596,-11.739139140045214,1567.4734529761786,0.08851449936628342,0.31862166559278393,0.27220168604155787,3.401368136319515,-24.2791748046875
Copy of PTT-20190716-WA0061.wav,1,22050.0,1.04,0.06546196950610313,1296.8767888666443,2107.6220703125,-15.276611941035068,1208.0365968045744,0.09784862399101257,0.37178064020596097,0.27655910681386786,3.1521727020921073,-27.081762313842773
Copy of PTT-20190716-WA0063.wav,1,22050.0,1.04,0.09152512922983363,1343.9066250632147,1994.6923828125,-16.770638706723258,1243.3421310405975,0.08235160261392593,0.3359211999960746,0.2748538470051247,2.538316524286195,-28.85841941833496
Copy of PTT-20190716-WA0068.wav,1,22050.0,2.3,0.06867688186867295,1299.5623607016435,2436.158935546875,-11.913797019169483,1439.59962667102,0.0599663220345974,0.38220177802696864,0.2775672005828711,2.0282693833513115,-28.64381217956543
Copy of PTT-20190716-WA0069.wav,1,22050.0,2.58,0.0653729191935172,1272.8863649842635,2228.5903930664062,-15.093868045718327,1421.1129168859188,0.061295635998249054,0.3814474415559661,0.2754811726828552,2.1801698811602184,-27.305667877197266
Copy of PTT-20190716-WA0070.wav,1,22050.0,1.64,0.055039787798408485,1135.783347591378,2157.1113693882044,-12.521324252650608,1327.5240407945219,0.032440733164548874,0.46807200136313304,0.2789752972628997,0.6033798769818983,-34.85676956176758
Copy of PTT-20190716-WA0067.wav,1,22050.0,1.36,0.07168268111846261,1351.6514738931387,2386.353366657839,-18.43019406309168,1323.1653005288306,0.0763464868068695,0.3526942978839692,0.26771980052658556,2.622498117943103,-28.701967239379883
Copy of PTT-20190716-WA0072.wav,1,22050.0,1.21,0.08826164874551971,1372.8303990239463,2196.38671875,-18.393727362354177,1280.7863298264235,0.07085755467414856,0.42039708457219116,0.2737979306689022,2.371493319557792,-30.90840721130371
Copy of PTT-20190716-WA0064.wav,1,22050.0,2.09,0.05359235945300629,1146.6419120870103,2337.548828125,-12.508339864585166,1403.1215860596267,0.02532012388110161,0.507532534941826,0.27504490700231027,0.42874349319982397,-35.657371520996094
Copy of PTT-20190716-WA0065.wav,1,22050.0,1.62,0.07273032669858066,1152.2877757787971,2144.86083984375,-10.179010525798452,1224.2259483991372,0.06082223355770111,0.49855364385266443,0.2748695879623132,1.3705603178344576,-31.499160766601562
Copy of PTT-20190716-WA0071.wav,1,22050.0,2.24,0.07475234487369083,1499.8626403990324,2895.882832635309,-18.777278788906507,1600.9645038973965,0.040261685848236084,0.48094832643090163,0.28262659984710364,1.0773580557723184,-30.663557052612305
Copy of PTT-20190716-WA0073.wav,1,22050.0,1.09,0.06339468302658487,1127.1541493015104,1888.2786527593084,-17.356213729120757,1253.8331282484737,0.06903857737779617,0.31364331955132185,0.27441942077815584,2.146184985218655,-31.1077938079834
Copy of PTT-20190716-WA0074.wav,1,22050.0,1.34,0.07663987029656151,1186.0354873748847,2109.697013065733,-11.023868498626927,1196.097617937819,0.0425402894616127,0.452039809722936,0.2786564953546257,0.8773540927696863,-31.755985260009766
Copy of PTT-20190716-WA0075.wav,1,22050.0,1.26,0.061785392245266,1154.5088496360154,2083.043767755682,-14.367705341250561,1387.6612088655038,0.05782969295978546,0.3261061792555281,0.27915179229780623,1.4955888928912708,-29.318279266357422
Copy of PTT-20190716-WA0077.wav,1,22050.0,1.13,0.0563006987390571,911.4665362472913,1365.380859375,-15.24901104067333,820.3883001188069,0.14568565785884857,0.308077541868878,0.26285510716346794,6.693697423931273,-25.650012969970703
Copy of PTT-20190716-WA0076.wav,1,22050.0,1.47,0.06503438280551359,1279.1114104792441,2319.0250396728516,-16.40603583831742,1475.1823632341511,0.06265135109424591,0.4260867226347524,0.27514547666265615,2.0505421863142472,-29.728967666625977
Copy of PTT-20190716-WA0078.wav,1,22050.0,1.32,0.07231603514552444,1276.2797008419666,2105.909488075658,-17.213448694487727,1361.3159297369536,0.06667172908782959,0.398757151963299,0.27803063443904835,2.1392360517518765,-28.4240665435791
Copy of PTT-20190716-WA0081.wav,1,22050.0,1.04,0.059554319968724206,827.634034299814,1320.4638671875,-11.1144331802606,1040.6598221306283,0.1021900624036789,0.3579667447011215,0.2765069052469277,3.7783885060081337,-28.6176700592041
Copy of PTT-20190716-WA0079.wav,1,22050.0,1.0,0.08478260869565217,1698.3000714073946,3380.2234996448865,-16.180295467047902,1669.6340795148549,0.08819986134767532,0.3822492986212992,0.2830977560273013,2.941182897009773,-23.372774124145508
Copy of PTT-20190716-WA0083.wav,1,22050.0,1.62,0.07200246353685508,1468.126430954687,2862.22412109375,-18.939437606953362,1586.0226417914052,0.04966367781162262,0.4123175935158146,0.2674034634915939,1.2969914847811161,-29.228763580322266
Copy of PTT-20190716-WA0082.wav,1,22050.0,1.26,0.07956717763751127,1457.1443818337038,2710.0514914772725,-16.482550502919562,1485.0739874535711,0.0843784511089325,0.42752160950682583,0.272274035327056,3.0196789477682544,-26.245492935180664
Copy of PTT-20190716-WA0080.wav,1,22050.0,1.02,0.07747228381374723,1482.8538647361481,2544.9853515625,-15.216651058181863,1410.9881799267432,0.08381609618663788,0.3545889867386342,0.2764310826902169,2.598723031236937,-23.650114059448242
Copy of PTT-20190716-WA0085.wav,1,22050.0,1.32,0.045613673805601315,902.4096454835462,1528.479646381579,-12.504909142434498,1196.206149281117,0.05041728913784027,0.4252867896119437,0.2590644120474341,1.1800653547815425,-35.12185287475586
Copy of PTT-20190716-WA0086.wav,1,22050.0,2.0,0.0687954015705266,1217.7619514427981,2235.8642578125,-13.65632296119519,1269.6344320224525,0.023281048983335495,0.46039140423369096,0.28003366640302874,0.20418251512426872,-34.551021575927734
Copy of PTT-20190716-WA0088.wav,1,22050.0,1.85,0.10847026604068857,1568.2840253113586,3038.7387084960938,-4.468350135531299,1391.5857115778429,0.09641317278146744,0.36388489405167235,0.2592988465614336,2.4769078063243133,-21.18674659729004
Copy of PTT-20190716-WA0087.wav,1,22050.0,1.71,0.17583703427917985,2535.4082759432094,5157.347643053209,-15.698916529307299,2225.963709696387,0.062453024089336395,0.46349815628441315,0.2827799338875111,1.916823120292091,-21.045888900756836
Copy of PTT-20190716-WA0091.wav,1,22050.0,1.28,0.043128214222379856,878.698596582977,1660.748291015625,-12.60089878171606,1159.4945116269507,0.050611693412065506,0.3973496556737236,0.25305544142570596,1.2531347457604676,-35.50640106201172
Copy of PTT-20190716-WA0089.wav,1,22050.0,1.64,0.06794319186560566,1212.72074014773,2144.9799873459506,-5.46000772553524,1215.7741688191354,0.10386013984680176,0.3847217864938979,0.2684897979475639,3.1827007720717635,-22.514738082885742
Copy of PTT-20190716-WA0090.wav,1,22050.0,1.3,0.059061573347287635,916.9371006497761,1677.667236328125,-13.7647049831697,1001.7796806318669,0.08760436624288559,0.33975880300954564,0.27892223245913833,3.25495833121416,-31.97007179260254
Copy of PTT-20190716-WA0093.wav,1,22050.0,1.68,0.0548568658605553,794.4403073310991,1286.0926797945206,-16.49594136826236,910.2859000127736,0.04661658778786659,0.41083235568999515,0.2638157041582401,1.202826654698039,-34.624366760253906
Copy of PTT-20190716-WA0092.wav,1,22050.0,1.09,0.062393055381661865,1008.4018501739024,1511.9057513297873,-16.920293905755955,1183.9217999918444,0.06129775568842888,0.30051255764287554,0.26875762067601383,1.2814061477802983,-31.163705825805664
Copy of PTT-20190716-WA0094.wav,1,22050.0,1.41,0.0680916916529645,1003.7116798052549,1588.8679879610656,-16.61542679562026,1046.9756135534476,0.06982993334531784,0.34312398692515683,0.26088756254861856,1.8763314225236827,-29.3709774017334
PTT-20190716-WA0005.wav,1,22050.0,1.36,0.06051135419091,823.3574363635728,1193.2679257150423,-17.078424075456592,1099.4029868881157,0.03458431363105774,0.2940835686416172,0.26345984119736127,0.47049302640108925,-37.97121810913086
PTT-20190716-WA0013.wav,1,22050.0,1.04,0.105512358281569,1794.0416703029498,3603.22265625,-16.150701161360246,1447.009048227069,0.0676112100481987,0.2654269381225973,0.2622873656509861,1.1697661529742458,-27.205657958984375
PTT-20190716-WA0011.wav,1,22050.0,0.94,0.06942764526585708,859.528517308055,1285.9523866234756,-9.479876012106244,942.9826824545936,0.11777166277170181,0.3589591801514077,0.23804390491956146,4.583696740037123,-28.298601150512695
PTT-20190716-WA0012.wav,1,22050.0,1.19,0.07399384334739482,1312.253377157945,2367.6170935997598,-16.01733593165347,1394.2639276866971,0.08571823686361313,0.20344872661972105,0.21294353263921506,1.9870824275161045,-25.578285217285156
PTT-20190716-WA0009.wav,1,22050.0,1.36,0.14838580975496227,2157.916742317746,3505.5324748411017,-8.189643131203063,1417.4242309298097,0.11279862374067307,0.2405329110967003,0.24599954049351785,2.7770783439544915,-20.223081588745117
PTT-20190716-WA0015.wav,1,22050.0,1.21,0.06320937873357228,930.844362916997,1502.855063384434,-17.454401250611536,956.7017505586476,0.048066992312669754,0.39155556369593264,0.26700810199069314,1.179638061569761,-35.86217498779297
PTT-20190716-WA0018.wav,1,22050.0,1.13,0.06469359890771825,879.3374058168957,1397.2412109375,-17.490172278974082,1026.7016235267174,0.028102224692702293,0.3628998575643364,0.2562561564660961,0.3691021348873262,-39.47513961791992
PTT-20190716-WA0019.wav,1,22050.0,1.96,0.06520532741398447,902.3389897863005,1236.7658547794117,-8.383295963062292,919.3156352474361,0.06512631475925446,0.1449601112511546,0.18537998459381658,1.2917683866860448,-33.316795349121094
PTT-20190716-WA0016.wav,1,22050.0,1.11,0.09176489849377865,1266.589681543782,2137.8433227539062,-15.705259738576979,1065.2429691367554,0.03680241480469704,0.3834596483849817,0.27353170656281933,0.47454788469381115,-33.07380676269531
PTT-20190716-WA0017.wav,1,22050.0,1.66,0.06521739130434782,1163.6590901372156,2183.2275390625,-11.555351588336785,1117.823013159311,0.04723012447357178,0.42058300579772134,0.2709390594295889,0.8861482908063685,-31.28855323791504
PTT-20190716-WA0020.wav,1,22050.0,1.13,0.07641956469359891,1116.5254898360267,1907.2265625,-16.043902819250423,992.6230956721063,0.039315249770879745,0.3814253123317697,0.2573554534121159,0.6063890232294439,-33.8728141784668
PTT-20190716-WA0021.wav,1,22050.0,0.98,0.07126660187884677,1040.9958260934575,1818.053347565407,-14.023128943268006,1068.1148122971206,0.04296904057264328,0.39810480010656973,0.2623164237407607,0.7734170197363246,-34.47184371948242
PTT-20190716-WA0022.wav,1,22050.0,1.19,0.06221259453502071,1242.1970111433914,2467.0011080228364,-16.233150613351608,1522.7798523318447,0.08355690538883209,0.2488025242064257,0.22417345250858006,2.1830067147658765,-28.203685760498047
PTT-20190716-WA0024.wav,1,22050.0,1.24,0.13229529217805458,1798.9270302638029,3887.939453125,-20.92974026151681,2064.235384390242,0.01186656765639782,0.3958375909980347,0.26146296239502653,0.06754987382499657,-42.054447174072266
PTT-20190716-WA0025.wav,1,22050.0,1.53,0.07142434988179669,1131.1476653584373,2052.4035097947763,-15.565265870415436,1069.8985806788587,0.03696012124419212,0.47782567328788655,0.2633844870543713,0.8109275475899445,-32.660953521728516
PTT-20190716-WA0023.wav,1,22050.0,1.14,0.12359505779194899,1568.989185723557,2947.68017578125,-18.819022123324437,1726.5626911221518,0.02517913095653057,0.3804765691753337,0.27158931139453385,0.29063663690124264,-37.307586669921875
PTT-20190716-WA0026.wav,1,22050.0,2.48,0.11957098669399857,1880.6550790569872,3563.7451171875,-12.14058503612828,1776.4408929987615,0.05642261356115341,0.5710285661568701,0.2826669604212228,2.164534769336264,-23.242919921875
PTT-20190716-WA0027.wav,1,22050.0,1.24,0.12035171276790621,1684.5406505910996,3522.2737630208335,-20.766571809896902,1837.5549487099195,0.01284844521433115,0.3872231792944698,0.2758517019149327,0.07384273029117815,-41.447322845458984
PTT-20190716-WA0028.wav,1,22050.0,1.18,0.1411905128600031,1855.2885899701942,3605.544864430147,-22.35203175686728,1836.2541636366868,0.007979859597980976,0.47145462454779075,0.2646498627611695,0.02777359792073176,-47.13626480102539
PTT-20190716-WA0029.wav,1,22050.0,2.34,0.11361784675072745,1701.8601954754895,3123.380453279703,-18.122233006926923,1731.1830044079136,0.03421882539987564,0.46357583900796534,0.2716452894734602,0.9654596112353928,-34.73728561401367
PTT-20190716-WA0030.wav,1,22050.0,1.44,0.10190821636965779,1381.318811823023,2518.5164913054437,-18.08348442667801,1454.4540967422115,0.018511751666665077,0.49446223159643626,0.2771765975789013,0.19824524322908044,-39.80295181274414
PTT-20190716-WA0037.wav,1,22050.0,2.0,0.1107075568065739,1722.1778260599374,3003.1393116918102,-19.04622107997065,1426.6624134264614,0.033531952649354935,0.3444560471586014,0.27272534466534687,0.4540487119042492,-29.703718185424805
PTT-20190716-WA0035.wav,1,22050.0,2.66,0.13752858069139678,1825.1955708587207,3237.0957880434785,-20.844804060870317,1612.5386740031834,0.030054593458771706,0.4361014278232694,0.26337523697998644,0.7731796152681786,-36.15888977050781
PTT-20190716-WA0031.wav,1,22050.0,2.18,0.10353587938861356,1721.6146814527085,3282.09540184508,-17.43205120987302,1620.3861028715753,0.018504811450839043,0.4700738999717855,0.2680378881789114,0.2635374308881647,-37.965694427490234
PTT-20190716-WA0039.wav,1,22050.0,5.46,0.06444750968042146,1282.9236873226287,2477.1851620431676,-13.265281830427977,1392.5425551072158,0.03211495280265808,0.4134362407056352,0.2789745946402853,0.4306478891521879,-28.347488403320312
PTT-20190716-WA0038.wav,1,22050.0,1.29,0.04894467428651567,1085.9454161653377,2125.4425048828125,-6.1988376457037315,1290.4413387418758,0.03354524448513985,0.42351853522115346,0.26222087321943566,0.40381488456746334,-32.245235443115234
PTT-20190716-WA0032.wav,1,22050.0,1.96,0.1019897616455491,1359.3674532727143,2452.3785041360293,-18.84859722581013,1393.1932223276178,0.02767953649163246,0.432756770670709,0.2710454807738009,0.4238435987930913,-37.26021957397461
PTT-20190716-WA0040.wav,1,22050.0,1.56,0.06628627987540392,1218.82188908691,2126.562140969669,-13.369182782282964,1460.7946262410067,0.052215106785297394,0.44527380794027627,0.2727987345510362,1.7922722243190636,-29.5087947845459
PTT-20190716-WA0033.wav,1,22050.0,1.8,0.09840324899730091,1591.31268977772,3401.6939603365386,-9.040748012425885,1764.2569665254105,0.03674878925085068,0.4349006780564606,0.2789317420613621,0.5721634347575076,-27.426816940307617
PTT-20190716-WA0034.wav,1,22050.0,1.57,0.07424486972561678,1361.1345242559312,2535.53466796875,-15.786676978198273,1583.40343190807,0.009265114553272724,0.4294593731609246,0.27421755680209553,0.04454469278086385,-40.799800872802734
PTT-20190716-WA0041.wav,1,22050.0,1.54,0.14594514892362134,2233.526895799175,4449.820356226679,-10.093819071094416,2174.7698034863715,0.07528048008680344,0.4650218577187755,0.27211453881398656,3.121528547385779,-23.023836135864258
PTT-20190716-WA0044.wav,1,22050.0,1.64,0.12368821819188702,2130.512171913363,4647.684102662852,-12.738433742333262,2218.5836835522764,0.01983863115310669,0.3956476923718873,0.2697244080972034,0.1745913895397155,-32.831260681152344
PTT-20190716-WA0043.wav,1,22050.0,2.68,0.1112164885599607,2074.966665674566,4535.709354795259,-11.218327372196578,2157.2111794737793,0.040356121957302094,0.41130804006166316,0.2606666062395994,0.9863283392865244,-27.31292724609375
PTT-20190716-WA0047.wav,1,22050.0,2.38,0.05914327128471163,1211.8512476221015,2233.2858483768205,-10.696817614441137,1541.525864532654,0.021897442638874054,0.5306958886099588,0.27880789569406156,0.24989215308098228,-33.85088348388672
PTT-20190716-WA0046.wav,1,22050.0,2.9,0.08871952173776958,1558.498495171866,3056.164453125,-10.994904229293173,1705.1560412353788,0.03931785002350807,0.4055545220919327,0.27815244164859076,0.8296548589589052,-30.995805740356445
PTT-20190716-WA0042.wav,1,22050.0,2.1,0.09537809676164123,1868.6855620163349,3619.707782451923,-18.34129237501622,1892.6244037105855,0.04165005311369896,0.4592125417238838,0.27072312149302646,1.322538410328802,-29.845060348510742
PTT-20190716-WA0053.wav,1,22050.0,3.0,0.07420238113247507,1393.3209809607158,2600.879657451923,-12.495157784119925,1616.2604597952763,0.024387672543525696,0.5306984879288947,0.2822820630176846,0.4478780468464824,-31.559635162353516
PTT-20190716-WA0050.wav,1,22050.0,3.64,0.07989777473041201,1501.5525752636522,2985.4346014132166,-10.476051412668486,1750.3072537344192,0.05727982893586159,0.38317385273848165,0.2679396968534274,2.818220000942172,-27.58391761779785
PTT-20190716-WA0049.wav,1,22050.0,3.6,0.06762633456443094,1251.820396857549,2321.0709110383063,-8.72741100362549,1552.4314058675034,0.022398924455046654,0.49625521173110787,0.2726167313495689,0.23671619576085245,-34.632102966308594
PTT-20190716-WA0051.wav,1,22050.0,2.08,0.07252766440404217,1323.8654096125495,2576.806640625,-18.066947929834022,1430.8554396389789,0.030177272856235504,0.4408333473489965,0.2671418665129536,0.4792808130216842,-33.896324157714844
PTT-20190716-WA0054.wav,1,22050.0,2.78,0.05836544112845295,1334.6103463936508,2644.1876220703125,-18.22242115562835,1607.5633729476733,0.015623942017555237,0.2619471738812584,0.2626867449838285,0.16243623317379408,-38.00941467285156
PTT-20190716-WA0055.wav,1,22050.0,2.46,0.04249391098974094,715.2474353672876,1094.0289191479953,-21.817331808710183,976.969266532647,0.01144290342926979,0.4276307521028349,0.26194845228209157,0.08830746754401558,-45.4114990234375
PTT-20190716-WA0057.wav,1,22050.0,2.58,0.1294289433869322,1940.0070339842132,3702.0767211914062,-15.922807785981224,1788.4484645318696,0.04720551520586014,0.5142478149758108,0.2747848377652587,1.26265328570806,-27.48711585998535
PTT-20190716-WA0056.wav,1,22050.0,2.06,0.08623501410437236,1297.4038880048029,2284.3341270189608,-14.169016636808246,1316.2483927494488,0.035518206655979156,0.444260467143795,0.25517994166159336,0.6446160300692632,-32.35966873168945
PTT-20190716-WA0058.wav,1,22050.0,2.24,0.141473300233053,2141.7601503367273,4349.041055895618,-15.747605310672348,1943.394497828682,0.0712662860751152,0.5006453792822703,0.2828902210030899,3.157208988868196,-23.303430557250977
PTT-20190716-WA0059.wav,1,22050.0,1.64,0.1962342516959712,2645.6054522865134,4886.975613446303,-17.575429245140302,2074.860643228172,0.06170659512281418,0.35020510804733457,0.2630433419639975,1.752164038270151,-24.480892181396484
PTT-20190716-WA0061.wav,1,22050.0,2.14,0.10468816291896478,1620.0530716496628,3077.5114982358873,-9.624182357859134,1741.5477622510077,0.06692589074373245,0.43517348804984146,0.2600575620661088,2.0679424357707887,-25.964731216430664
PTT-20190716-WA0060.wav,1,22050.0,1.66,0.07580151001203633,1092.5199807732588,1907.3333740234375,-18.78674463196564,1001.9066609624865,0.012461183592677116,0.4746325984837661,0.28097043820933426,0.06489953786085739,-42.26509475708008
PTT-20190716-WA0063.wav,1,22050.0,1.6,0.15976499304629183,2262.1679631327056,4280.582328464674,-17.212776508605636,1865.1346843779015,0.06838309019804001,0.45104056070950005,0.27011617640998214,2.282793322648973,-25.65041732788086
PTT-20190716-WA0062.wav,1,22050.0,1.94,0.06372571963491692,1226.7138673841969,2270.599365234375,-11.297511560152916,1495.8203695725144,0.05622043460607529,0.3951290317127385,0.2783938671591127,1.4312349940790003,-27.6372127532959
PTT-20190716-WA0064.wav,1,22050.0,2.22,0.05653934238508097,1058.5074213440764,1702.2445678710938,-9.801481030944652,1385.125001531402,0.06907898932695389,0.3224303256816564,0.24391679068120395,1.6888421216400733,-27.989843368530273
PTT-20190716-WA0065.wav,1,22050.0,2.34,0.05200775945683802,988.051111109632,1864.5408705909654,-12.169647430482279,1278.7127230287692,0.028570711612701416,0.5090659468469299,0.27658371745704113,0.40032943799334536,-35.831729888916016
PTT-20190716-WA0068.wav,1,22050.0,2.38,0.06503661885871223,1137.839704300865,1957.3263520175972,-14.362439427434063,1163.81641104873,0.0446305088698864,0.42899012654157087,0.2820631857769309,1.528336222754223,-32.90071487426758
PTT-20190716-WA0069.wav,1,22050.0,1.32,0.13355586909391237,2237.960831271141,4310.9850431743425,-13.850195323135049,1974.1080936920596,0.10465910285711288,0.4025517249346408,0.27212582250430123,4.657900939787113,-17.0552978515625
PTT-20190716-WA0067.wav,1,22050.0,2.59,0.04135555283543463,966.7467495409871,2123.32763671875,-4.977230531708531,1353.4029965725572,0.039368849247694016,0.5071040598246391,0.2719329041694965,0.7927833661664924,-31.081026077270508
PTT-20190716-WA0074.wav,1,22050.0,2.74,0.06885870465462979,1329.4470491795983,2541.4654230667375,-7.655658084726198,1438.4522882977822,0.10097531229257584,0.5563417090921604,0.2774422066169169,6.962358297735612,-24.146240234375
PTT-20190716-WA0070.wav,1,22050.0,1.89,0.05954205786549147,1065.8079101713104,2165.268614233994,-5.213399815011362,1173.2465736384756,0.04754169285297394,0.4485018519221267,0.2543077909576438,0.8429465295227834,-32.186302185058594
PTT-20190716-WA0072.wav,1,22050.0,2.3,0.12477303228862398,2303.311746561155,4694.999556107955,-15.684122445864936,2008.6826722279818,0.11887480318546295,0.3302080898600029,0.2699944727204222,4.713779956049271,-17.472593307495117
PTT-20190716-WA0071.wav,1,22050.0,3.54,0.07796436354313549,1484.642710118441,2858.4271599264707,-11.837235401942014,1565.5909439090296,0.0594165213406086,0.5673470225545615,0.2779752076620899,3.0835680960749485,-27.027469635009766
PTT-20190716-WA0073.wav,1,22050.0,1.88,0.06566522568647813,1175.6534861391756,2203.9632161458335,-14.669738691541218,1290.4912604011392,0.05744572728872299,0.32533268878528804,0.27052205967579396,1.781292987014344,-30.344627380371094
PTT-20190716-WA0075.wav,1,22050.0,1.5,0.11747608090105364,2244.9002724531247,4360.970552884615,-15.273990724662141,1817.4190127221948,0.1281972974538803,0.2771194386491973,0.26721002478906014,4.535303195676286,-17.319381713867188
PTT-20190716-WA0079.wav,1,22050.0,4.14,0.0884809294169224,1561.5261182397574,3167.425912185754,-14.267122509292905,1742.2659504969026,0.01741129718720913,0.5096219531962436,0.27051512850765064,0.2715033112816745,-35.67766571044922
PTT-20190716-WA0078.wav,1,22050.0,1.42,0.1202661207778915,2032.5789121027358,4059.1824439264115,-10.386569561828356,1944.6885518182273,0.027836449444293976,0.5198905514795857,0.26999911550422223,0.36847630039925483,-26.01553726196289
PTT-20190716-WA0080.wav,1,22050.0,1.28,0.1894807821982468,2431.76600691367,4543.6981201171875,-18.818214029788066,2032.7511904779901,0.026515251025557518,0.4352665951151503,0.2692754329131476,0.309426365450799,-34.01791000366211
PTT-20190716-WA0077.wav,1,22050.0,1.06,0.09414387378890508,1691.5231771398305,3373.2230808423915,-11.100713566376678,1552.6261330727123,0.062393464148044586,0.3052771295295486,0.2587339340429417,1.2685103005867608,-25.167226791381836
PTT-20190716-WA0081.wav,1,22050.0,2.04,0.10018916212306665,1874.923775942783,3646.6968883167615,-11.755319105545883,1676.6217560628718,0.12234967201948166,0.39521709799685634,0.277108903557589,5.784563648680628,-20.711950302124023
PTT-20190716-WA0082.wav,1,22050.0,1.82,0.08579483085520408,1614.5980862812066,3083.06405755538,-12.512248125577324,1580.84513437495,0.06622769683599472,0.4421407979782881,0.2754851308291484,2.2340024533095884,-28.07515525817871
